subtest,cell,arc,lut,border,eps,v_inside,v_outside,rel_jump
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,slew_high,0.001,0.12492387686664141,0.12493548643249792,9.292448597286872e-05
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,slew_high,1e-06,0.12493547482293206,0.12493548643249792,9.292448603451792e-08
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,slew_high,1e-09,0.12493548642088834,0.12493548643249792,9.29246655392026e-11
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,slew_high,1e-12,0.12493548643248632,0.12493548643249792,9.286257202513317e-14
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,load_low,0.001,0.04162040785469057,0.04184191212994968,0.005293837302921819
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,load_low,1e-06,0.04162040785469057,0.04162062935896583,5.321982840401703e-06
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,load_low,1e-09,0.04162040785469057,0.04162040807619484,5.3220109209965064e-09
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,load_low,1e-12,0.04162040785469057,0.04162040785491208,5.32198944259948e-12
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,load_high,0.001,0.19018847802282446,0.1903330020695329,0.0007593220573258849
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,load_high,1e-06,0.1903328575454862,0.1903330020695329,7.593220572940949e-07
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,load_high,1e-09,0.19033300192500888,0.1903330020695329,7.593219781103621e-10
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,load_high,1e-12,0.1903330020693884,0.1903330020695329,7.591722144022962e-13
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,slew_low,0.001,0.06642545354312335,0.0665128831001962,0.0013144755271116532
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,slew_low,1e-06,0.06642545354312335,0.06642554097268043,1.316203914939069e-06
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,slew_low,1e-09,0.06642545354312335,0.0664254536305529,1.3162055346637226e-09
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,slew_low,1e-12,0.06642545354312335,0.06642545354321079,1.3164221892765136e-12
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,slew_high,0.001,0.13356473065414845,0.1336138935830194,0.0003679477302290953
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,slew_high,1e-06,0.13361384442009053,0.1336138935830194,3.679477301981436e-07
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,slew_high,1e-09,0.1336138935338565,0.1336138935830194,3.6794748403843503e-10
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,slew_high,1e-12,0.13361389358297024,0.1336138935830194,3.6788931971911183e-13
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,load_low,0.001,0.061079734860826504,0.06125477780401312,0.0028576210617672236
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,load_low,1e-06,0.061079734860826504,0.061079909903769686,2.865802249178193e-06
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,load_low,1e-09,0.061079734860826504,0.06107973503586944,2.8658103767879717e-09
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,load_low,1e-12,0.061079734860826504,0.06107973486100155,2.8658846819198083e-12
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,load_high,0.001,0.14405533655310238,0.1441285635146305,0.0005080669628729313
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,load_high,1e-06,0.144128490287669,0.1441285635146305,5.080669626395303e-07
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,load_high,1e-09,0.14412856344140354,0.1441285635146305,5.0806689870459e-10
C_clamp_transition,AND2_X1,A2->ZN,cell_fall,load_high,1e-12,0.14412856351455727,0.1441285635146305,5.080131702457201e-13
C_clamp_transition,AND2_X1,A2->ZN,rise_transition,slew_low,0.001,0.07264506072210428,0.07264518915348606,1.7679268686077024e-06
C_clamp_transition,AND2_X1,A2->ZN,rise_transition,slew_low,1e-06,0.07264506072210428,0.07264506085053567,1.7679301114054491e-09
C_clamp_transition,AND2_X1,A2->ZN,rise_transition,slew_low,1e-09,0.07264506072210428,0.07264506072223272,1.7680338468216684e-12
C_clamp_transition,AND2_X1,A2->ZN,rise_transition,slew_low,1e-12,0.07264506072210428,0.07264506072210442,1.9103553180170622e-15
C_clamp_transition,AND2_X1,A2->ZN,rise_transition,slew_high,0.001,0.07332238892448875,0.07332358012412549,1.6245792072874653e-05
C_clamp_transition,AND2_X1,A2->ZN,rise_transition,slew_high,1e-06,0.07332357893292586,0.07332358012412549,1.624579191351122e-08
C_clamp_transition,AND2_X1,A2->ZN,rise_transition,slew_high,1e-09,0.07332358012293429,0.07332358012412549,1.624579588813362e-11
